iter	Logloss
0	0.6127197232
1	0.5470385297
2	0.4935759341
3	0.4509984597
4	0.4180900268
5	0.3905343408
6	0.36779433
7	0.3497636818
8	0.3346523417
9	0.3225812245
10	0.3126125734
11	0.30517118
12	0.298339788
13	0.2919136302
14	0.2867026613
15	0.2822512182
16	0.2785651048
17	0.2753331416
18	0.2727766147
19	0.270734751
20	0.268623136
21	0.2667521058
22	0.2653492793
23	0.264102984
24	0.2629247748
25	0.2620244404
26	0.2611609729
27	0.2604889519
28	0.259844666
29	0.2594438403
30	0.2588927739
31	0.2586029041
32	0.2582104742
33	0.2579200686
34	0.2576201847
35	0.2574003791
36	0.2570894194
37	0.2567316211
38	0.2565743357
39	0.2563411275
40	0.2561164458
41	0.255933694
42	0.2557711624
43	0.25566996
44	0.2555268742
45	0.2554021914
46	0.2552202794
47	0.2551504707
48	0.255027225
49	0.2548942986
50	0.2547351436
51	0.2545890619
52	0.2544784058
53	0.2543975181
54	0.2543332472
55	0.2542430133
56	0.254151629
57	0.2540982004
58	0.2540374819
59	0.2539732738
60	0.253897103
61	0.253820246
62	0.253747261
63	0.2536324832
64	0.2535603163
65	0.2534975886
66	0.2534506231
67	0.2533626124
68	0.253330393
69	0.2532797088
70	0.2532297669
71	0.2532010297
72	0.253146142
73	0.2530906029
74	0.2529977478
75	0.2529682886
76	0.2529117
77	0.2528301291
78	0.2528037439
79	0.2527654142
80	0.2527417264
81	0.2527135838
82	0.2526196667
83	0.2525587395
84	0.2525050033
85	0.2524849574
86	0.2524521462
87	0.2524267846
88	0.2523900129
89	0.2522834686
90	0.2522544
91	0.2522517037
92	0.2522254497
93	0.2522044173
94	0.252185884
95	0.2521698448
96	0.2521112783
97	0.2520888124
98	0.2520355166
99	0.2520057748
100	0.2519417029
101	0.251924395
102	0.2518595258
103	0.2518190002
104	0.25178062
105	0.2517205838
106	0.2517011187
107	0.2516687271
108	0.2516635548
109	0.2516438929
110	0.2516285877
111	0.2516125879
112	0.251589739
113	0.2515663931
114	0.2515274812
115	0.2515165596
116	0.2514985752
117	0.2514715985
118	0.2514260904
119	0.2513930479
120	0.2513627464
121	0.251337465
122	0.2513335042
123	0.2512692642
124	0.2512491897
125	0.2512434508
126	0.2511764801
127	0.2511184834
128	0.2510900213
129	0.2510513966
130	0.2510226685
131	0.2509986795
132	0.2509836235
133	0.2509481443
134	0.2509369212
135	0.250878744
136	0.2508586858
137	0.2508024754
138	0.2507859903
139	0.2507761941
140	0.2507286632
141	0.2506976696
142	0.2506847033
143	0.2506569886
144	0.2506456492
145	0.2506276516
146	0.2505720368
147	0.2505591356
148	0.2505506117
149	0.2505347534
150	0.2505333725
151	0.250519317
152	0.2504857775
153	0.2504718739
154	0.2504244287
155	0.2503633538
156	0.2503500386
157	0.2503215148
158	0.250317512
159	0.2503079375
160	0.250290258
161	0.2502789529
162	0.2502532246
163	0.25021099
164	0.2501740297
165	0.250158792
166	0.2501201864
167	0.2501122092
168	0.2500738555
169	0.2500738524
170	0.2500684831
171	0.2500617844
172	0.2500543649
173	0.2500368022
174	0.2500294825
175	0.2500161463
176	0.2499807814
177	0.2499639161
178	0.2499368451
179	0.2499252715
180	0.2498749041
181	0.2498605341
182	0.2498132619
183	0.2497893255
184	0.2497787848
185	0.249748378
186	0.249727225
187	0.2497181257
188	0.2496868717
189	0.2496505261
190	0.2496104668
191	0.249598955
192	0.2495880134
193	0.2495455352
194	0.2495305656
195	0.2495033876
