iter	Passed	Remaining
0	447	2236551
1	734	1835371
2	1036	1725651
3	1394	1741284
4	1734	1732741
5	2049	1705566
6	2322	1656473
7	2587	1614455
8	2886	1600670
9	3241	1617284
10	3549	1609760
11	3821	1588459
12	4111	1577142
13	4412	1571380
14	4757	1580939
15	5136	1600031
16	5464	1601803
17	5757	1593664
18	6036	1582507
19	6356	1582690
20	6746	1599620
21	7054	1596222
22	7378	1596597
23	7663	1588918
24	7948	1581700
25	8217	1572023
26	8528	1570901
27	8918	1583608
28	9248	1585251
29	9526	1578167
30	9793	1569783
31	10070	1563381
32	10432	1570194
33	10841	1583486
34	11238	1594275
35	11657	1607391
36	12009	1610829
37	12299	1606011
38	12670	1611814
39	12975	1608973
40	13321	1611225
41	13644	1610689
42	13982	1611868
43	14321	1613152
44	14645	1612604
45	15030	1618745
46	15364	1619112
47	15680	1617745
48	16020	1618755
49	16416	1625259
50	16757	1626172
51	17107	1627806
52	17439	1627789
53	17822	1632381
54	18177	1634362
55	18504	1633694
56	18839	1633740
57	19203	1636290
58	19536	1636116
59	19841	1633619
60	20138	1630570
61	20448	1628657
62	20774	1627991
63	21134	1630007
64	21458	1629203
65	21786	1628736
66	22103	1627387
67	22420	1626172
68	22753	1626057
69	23037	1622526
70	23399	1624438
71	23807	1629466
72	24137	1629096
73	24440	1626940
74	24785	1627580
75	25116	1627297
76	25393	1623560
77	25711	1622457
78	26055	1623050
79	26375	1622101
80	26715	1622387
81	27038	1621638
82	27397	1623080
83	27745	1623747
84	28062	1622694
85	28386	1621967
86	28696	1620542
87	29005	1619009
88	29361	1620142
89	29677	1619090
90	29987	1617660
91	30172	1609650
92	30544	1611632
93	30883	1611834
94	31190	1610402
95	31480	1608121
96	31808	1607818
97	32140	1607705
98	32441	1606026
99	32801	1607249
100	33152	1608074
101	33442	1605909
102	33754	1604829
103	34087	1604716
104	34433	1605241
105	34734	1603677
106	35093	1604795
107	35448	1605703
108	35792	1606068
109	36110	1605255
110	36410	1603687
111	36738	1603385
112	37058	1602698
113	37393	1602654
114	37705	1601680
115	38065	1602679
116	38367	1601253
117	38654	1599265
118	38972	1598508
119	39309	1598585
120	39647	1598664
121	39977	1598455
122	40163	1592493
123	40479	1591755
124	40843	1592899
125	41156	1592047
126	41460	1590849
127	41787	1590551
128	42071	1588624
129	42431	1589550
130	42789	1590403
131	43033	1587012
132	43373	1587197
