iter	CrossEntropy	Logloss
0	0.6234207793	0.6234207793
1	0.5729519212	0.5729518837
2	0.5368902193	0.5368902193
3	0.5107823173	0.5107823548
4	0.4914151219	0.4914151594
5	0.4771006151	0.4771005775
6	0.4663538946	0.4663539321
7	0.4578325957	0.4578326332
8	0.4510278973	0.4510279348
9	0.4455874319	0.4455873944
10	0.44119818	0.4411982175
11	0.4376178278	0.4376178278
12	0.4346129142	0.4346128766
13	0.4321480673	0.4321481048
14	0.4300185209	0.4300185209
15	0.4281945672	0.4281946047
16	0.4266425973	0.4266426349
17	0.4253012078	0.4253012078
18	0.4241840896	0.4241840521
19	0.4231470925	0.4231470925
20	0.4222863916	0.4222863165
21	0.4215955352	0.4215955728
22	0.4208653686	0.4208654061
23	0.4202658863	0.4202659238
24	0.4196613026	0.4196613401
25	0.4190969295	0.419096892
26	0.4185620016	0.4185620391
27	0.4181163846	0.4181163846
28	0.4177249694	0.4177249694
29	0.4173810417	0.4173810417
30	0.4170231602	0.4170231977
31	0.4166244681	0.4166244681
32	0.4162915682	0.4162915682
33	0.415925022	0.415925022
34	0.4156473366	0.4156472991
35	0.4153787286	0.4153787662
36	0.4151113585	0.415111321
37	0.4148708078	0.4148708454
38	0.4145402336	0.4145402336
39	0.4143223764	0.4143223764
40	0.4140548562	0.4140548187
41	0.4137688061	0.4137688436
42	0.4135127639	0.4135127639
43	0.4133039466	0.4133039841
44	0.4130725484	0.4130725484
45	0.4129183829	0.4129183454
46	0.4127185305	0.4127185305
47	0.4125573507	0.4125573507
48	0.4124173264	0.4124172889
49	0.4122826286	0.4122826286
50	0.412131989	0.412131989
51	0.4119778236	0.4119778236
52	0.41183086	0.4118308975
53	0.4116827711	0.4116827336
54	0.4115279305	0.4115279305
55	0.4113846429	0.4113846429
56	0.4112825036	0.4112824661
57	0.4111597339	0.4111596964
58	0.4110548563	0.4110548939
59	0.4109422518	0.4109422518
60	0.4108342234	0.4108342234
61	0.4107233443	0.4107234194
62	0.4106307325	0.410630695
63	0.4105218415	0.4105218415
64	0.410436394	0.410436319
65	0.4103470831	0.4103471206
66	0.410253421	0.410253346
67	0.4101871036	0.4101871411
68	0.4100680474	0.4100680474
69	0.4099686088	0.4099686838
70	0.4099100934	0.4099100934
71	0.4098236707	0.4098236707
72	0.4097267078	0.4097266328
73	0.4096412603	0.4096412228
74	0.4095529622	0.4095529622
75	0.4094753168	0.4094753543
76	0.4094219403	0.4094219403
77	0.409262786	0.409262786
78	0.4091801518	0.4091800768
79	0.4090267366	0.4090267366
80	0.4089785739	0.4089785739
81	0.4089348374	0.4089348374
82	0.4088712583	0.4088712208
83	0.4087853607	0.4087853982
84	0.4086820586	0.4086820586
85	0.4086367092	0.4086367092
86	0.408567391	0.4085673535
87	0.4084477721	0.4084478096
88	0.4083910197	0.4083909822
89	0.4083091732	0.4083091732
90	0.4082675373	0.4082675373
91	0.408151857	0.4081518945
92	0.408100581	0.4081006185
93	0.4080438286	0.4080438286
94	0.4080006173	0.4080005798
95	0.4079333996	0.4079333996
96	0.4078801732	0.4078801732
97	0.4078380496	0.4078380871
98	0.4077718447	0.4077718822
99	0.4077183932	0.4077184307
100	0.4076843718	0.4076843343
101	0.4075449852	0.4075449477
102	0.4074885329	0.4074886079
103	0.407365388	0.407365313
104	0.4072990331	0.4072990706
105	0.4072207876	0.4072207876
106	0.4071845906	0.4071845906
107	0.4071527822	0.4071527822
108	0.40710627	0.4071062325
109	0.4070103199	0.4070103199
110	0.4069563432	0.4069563807
111	0.406904167	0.406904167
112	0.4068731088	0.4068730338
113	0.4068304977	0.4068304977
114	0.4067236696	0.4067236696
115	0.4066544265	0.4066544265
116	0.406606864	0.4066068265
117	0.4065768936	0.4065769311
118	0.4064882578	0.4064882954
119	0.4064288798	0.4064288798
120	0.4063218642	0.4063218642
121	0.4062768524	0.4062768149
122	0.4061787641	0.4061788016
123	0.4061467682	0.4061467682
124	0.406101944	0.406102019
125	0.4060621085	0.406062146
126	0.4060176218	0.4060176218
127	0.4059829627	0.4059830002
128	0.4059311991	0.4059311616
129	0.4059067052	0.4059067427
130	0.4058684827	0.4058684452
131	0.4058477022	0.4058477022
132	0.405766681	0.4057666435
133	0.4057380234	0.4057380234
134	0.4057185933	0.4057185558
135	0.4056886605	0.4056886605
136	0.4056579774	0.4056580149
137	0.4055750057	0.4055750057
138	0.4055023116	0.4055023116
139	0.4054507731	0.4054507731
140	0.4054150637	0.4054150637
