iter	Passed	Remaining
0	508	1526111
1	808	1211612
2	1121	1120035
3	1421	1065062
4	1747	1046968
5	2082	1038989
6	2376	1016264
7	2700	1009937
8	3017	1002655
9	3342	999317
10	3648	991444
11	3973	989497
12	4282	984063
13	4645	990845
14	4947	984553
15	5249	979068
16	5534	971061
17	5853	969800
18	6145	964198
19	6492	967377
20	6795	963961
21	7119	963774
22	7512	972401
23	7879	977005
24	8201	975993
25	8516	974175
26	8889	978881
27	9175	973900
28	9564	979868
29	9878	977970
30	10188	975826
31	10472	971333
32	10811	972026
33	11189	976140
34	11486	973088
35	11846	975367
36	12213	978033
37	12623	984001
38	12933	981954
39	13243	980044
40	13644	984749
41	13934	981352
42	14232	978699
43	14537	976663
44	14838	974368
45	15135	971972
46	15465	971674
47	15766	969658
48	16065	967563
49	16370	965860
50	16705	965952
51	17017	964740
52	17323	963229
53	17692	965234
54	17994	963515
55	18246	959226
56	18582	959447
57	18924	959911
58	19256	959903
59	19533	957152
60	19821	955000
61	20166	955648
62	20471	954384
63	20799	954176
64	21136	954373
65	21530	957124
66	21815	954980
67	22131	954275
68	22491	955399
69	22792	954036
70	23065	951515
71	23390	951207
72	23692	949967
73	23982	948270
74	24263	946266
75	24580	945689
76	24866	943954
77	25170	942907
78	25441	940691
79	25747	939783
80	26037	938330
81	26326	936823
82	26666	937178
83	27087	940327
84	27440	941049
85	27717	939169
86	27988	937145
87	28273	935590
88	28606	935652
89	28947	935961
90	29283	936090
91	29589	935283
92	29911	934989
93	30237	934793
94	30553	934294
95	30849	933190
96	31179	933148
97	31470	931902
98	31825	932570
99	32175	933100
100	32470	931994
101	32756	930664
102	33027	928940
103	33327	928052
104	33623	927059
105	34187	933370
106	34448	931395
107	34709	929456
108	34977	927718
109	35263	926479
110	35569	925758
111	35874	925049
112	36157	923774
113	36501	924067
114	36999	928217
115	37467	931514
116	37711	929255
117	37982	927680
118	38292	927053
119	38666	927998
120	38964	927095
121	39248	925885
122	39547	925032
123	39828	923771
124	40119	922741
125	40408	921700
126	40754	921951
127	41028	920572
128	41371	920745
129	41649	919499
130	41935	918428
131	42195	916795
132	42491	915957
133	42794	915292
134	43074	914126
135	43337	912642
136	43650	912201
137	43929	911065
138	44218	910136
139	44511	909309
140	44807	908541
141	45089	907503
142	45456	908170
143	45735	907093
144	46087	907443
145	46575	910462
146	47015	912493
147	47276	911038
148	47575	910325
149	47929	910669
150	48209	909602
151	48486	908477
152	48828	908584
153	49097	907338
154	49405	906830
155	49690	905892
156	49980	905062
157	50300	904770
158	50582	903810
159	50871	902971
160	51167	902269
161	51465	901607
162	51729	900353
163	52000	899227
164	52300	898622
165	52675	899293
166	52978	898730
167	53262	897850
168	53602	897928
169	53904	897353
170	54204	896756
171	54497	896040
172	54772	895047
173	55051	894105
174	55347	893469
175	55603	892190
176	55871	891106
177	56161	890384
178	56446	889579
179	56755	889175
180	57022	888109
181	57324	887578
182	57601	886689
183	57935	886658
184	58239	886185
185	58526	885443
186	58893	885927
187	59266	886482
188	59543	885594
189	59806	884510
190	60103	883932
191	60384	883126
192	60657	882205
193	60953	881620
194	61249	881046
195	61518	880097
196	61892	880637
197	62200	880226
198	62462	879180
199	62759	878639
200	63045	877926
201	63380	877908
202	63667	877236
203	63934	876282
204	64280	876410
205	64632	876616
206	64910	875816
207	65213	875363
208	65487	874520
209	65791	874089
210	66087	873550
211	66432	873653
212	66719	872987
213	67082	873321
214	67375	872753
215	67655	872009
216	67953	871490
217	68247	870931
218	68526	870189
219	68821	869650
220	69107	868997
221	69396	868391
222	69670	867600
223	69987	867350
224	70274	866724
225	70551	865976
226	70814	865063
227	71095	864370
228	71391	863872
229	71907	866016
230	72261	866198
231	72547	865567
232	72830	864897
233	73129	864432
234	73429	863962
235	73734	863573
236	74025	863007
237	74319	862482
238	74603	861844
239	74927	861668
240	75202	860932
241	75475	860175
242	75749	859431
243	76016	858610
244	76299	857975
245	76566	857166
246	76974	857941
247	77255	857287
248	77541	856697
249	77981	857798
250	78292	857477
251	78571	856802
252	78899	856671
253	79186	856091
254	79511	855915
255	79785	855203
256	80083	854740
257	80352	853977
258	80735	854425
259	81017	853803
260	81288	853060
261	81558	852312
262	81853	851835
263	82168	851561
264	82463	851081
265	82769	850724
266	83045	850050
267	83312	849294
268	83575	848492
269	83864	847959
270	84138	847280
271	84392	846407
272	84679	845861
273	84975	845408
274	85261	844868
275	85581	844651
276	85871	844140
277	86155	843582
278	86448	843103
279	86740	842617
280	87171	843485
281	87448	842859
282	87729	842267
283	88033	841900
284	88309	841266
285	88625	841017
286	88933	840686
287	89294	840852
288	89584	840356
289	89881	839928
290	90150	839238
291	90508	839377
292	90856	839416
293	91145	838907
294	91418	838257
295	91819	838784
296	92094	838155
297	92364	837483
298	92660	837047
299	92947	836530
300	93239	836057
301	93514	835434
302	93787	834805
303	94055	834122
304	94336	833567
305	94639	833198
306	94940	832813
307	95247	832490
308	95519	831856
309	95802	831318
310	96080	830744
311	96343	830033
312	96624	829487
313	96960	829415
314	97276	829165
315	97630	829241
316	98065	829996
317	98371	829658
318	98661	829186
319	98943	828647
320	99287	828633
321	99564	828052
322	99853	827581
323	100144	827117
324	100390	826287
325	100663	825687
326	100959	825273
327	101420	826207
328	101728	825890
329	102033	825543
330	102321	825064
331	102617	824648
332	102907	824187
333	103282	824401
334	103554	823797
335	103870	823548
336	104225	823601
337	104507	823074
338	104795	822601
339	105079	822090
340	105392	821816
341	105761	821972
342	106051	821514
343	106325	820930
344	106619	820503
