iter	CrossEntropy	Logloss
0	0.6467745419	0.6467745419
1	0.6073274664	0.6073274664
2	0.5742723843	0.5742723843
3	0.545923115	0.545923115
4	0.5226034799	0.5226034799
5	0.5020394202	0.5020394202
6	0.485693981	0.485693981
7	0.4716486222	0.4716486222
8	0.4595083497	0.4595083497
9	0.4490555959	0.4490555959
10	0.4396613973	0.4396613973
11	0.4316880189	0.4316880189
12	0.4242871683	0.4242871683
13	0.418008386	0.418008386
14	0.412349819	0.412349819
15	0.4074826788	0.4074826788
16	0.4026925423	0.4026925423
17	0.3990134677	0.3990134677
18	0.3954467356	0.3954467356
19	0.3920729515	0.3920729515
20	0.389160176	0.389160176
21	0.3864355951	0.3864355951
22	0.3841517413	0.3841517413
23	0.3819188366	0.3819188366
24	0.380061775	0.380061775
25	0.3784307372	0.3784307372
26	0.3770877003	0.3770877003
27	0.3757619151	0.3757619151
28	0.3744796767	0.3744796767
29	0.373423767	0.373423767
30	0.3725835934	0.3725835934
31	0.3716820775	0.3716820775
32	0.3709767745	0.3709767745
33	0.3700584302	0.3700584302
34	0.369332512	0.369332512
35	0.3686599256	0.3686599256
36	0.3680484059	0.3680484059
37	0.3675320011	0.3675320011
38	0.3669412444	0.3669412444
39	0.3665190147	0.3665190147
40	0.3661603193	0.3661603193
41	0.3657885889	0.3657885889
42	0.3654411526	0.3654411526
43	0.3651108341	0.3651108341
44	0.3648630677	0.3648630677
45	0.3645660838	0.3645660838
46	0.3642574876	0.3642574876
47	0.3640030306	0.3640030306
48	0.363706332	0.363706332
49	0.3635102012	0.3635102012
50	0.3632786072	0.3632786072
51	0.3630697436	0.3630697436
52	0.3629100634	0.3629100634
53	0.3626958758	0.3626958758
54	0.3625141572	0.3625141572
55	0.3623272687	0.3623272687
56	0.3622128341	0.3622128341
57	0.3620767859	0.3620767859
58	0.3619560562	0.3619560562
59	0.3618198526	0.3618198526
60	0.3617271819	0.3617271819
61	0.3616444765	0.3616444765
62	0.3615514435	0.3615514435
63	0.3614405491	0.3614405491
64	0.3613242045	0.3613242045
65	0.3611805108	0.3611805108
66	0.3610869325	0.3610869325
67	0.3610213538	0.3610213538
68	0.3608857866	0.3608857866
69	0.3608187925	0.3608187925
70	0.3607005371	0.3607005371
71	0.3606367239	0.3606367239
72	0.3605352157	0.3605352157
73	0.3604516338	0.3604516338
74	0.3603584059	0.3603584059
75	0.3602763178	0.3602763178
76	0.3602359462	0.3602359462
77	0.3601957899	0.3601957899
78	0.3601484836	0.3601484836
79	0.3600749042	0.3600749042
80	0.3599811253	0.3599811253
81	0.3598919468	0.3598919468
82	0.3598317448	0.3598317448
83	0.3597735574	0.3597735574
84	0.3597068601	0.3597068601
85	0.3596462793	0.3596462793
86	0.3595935216	0.3595935216
87	0.3595443039	0.3595443039
88	0.3594726645	0.3594726645
89	0.3594290187	0.3594290187
90	0.3593930867	0.3593930867
91	0.3593540428	0.3593540428
92	0.3593233771	0.3593233771
93	0.3592821128	0.3592821128
94	0.3592429596	0.3592429596
95	0.3591291972	0.3591291972
96	0.3591031575	0.3591031575
97	0.359000083	0.359000083
98	0.3589712901	0.3589712901
99	0.3589318411	0.3589318411
100	0.3588816135	0.3588816135
101	0.3587479694	0.3587479694
102	0.3586677492	0.3586677492
103	0.3586316413	0.3586316413
104	0.3585557934	0.3585557934
105	0.3585169514	0.3585169514
106	0.3584758689	0.3584758689
107	0.3584265539	0.3584265539
108	0.3583910179	0.3583910179
109	0.3583570065	0.3583570065
110	0.3583198782	0.3583198782
111	0.3582910486	0.3582910486
112	0.3582359503	0.3582359503
113	0.3582133046	0.3582133046
114	0.3581303909	0.3581303909
115	0.358078784	0.358078784
116	0.3580502409	0.3580502409
117	0.358025066	0.358025066
118	0.3579608392	0.3579608392
119	0.3579326543	0.3579326543
120	0.3579031974	0.3579031974
121	0.3578649915	0.3578649915
122	0.357799255	0.357799255
123	0.3577755494	0.3577755494
124	0.3577471358	0.3577471358
125	0.3576599218	0.3576599218
126	0.35763112	0.35763112
127	0.3576152905	0.3576152905
128	0.3575967367	0.3575967367
129	0.3575623073	0.3575623073
130	0.3575372481	0.3575372481
131	0.3575035511	0.3575035511
132	0.3574167552	0.3574167552
133	0.3573660675	0.3573660675
134	0.3573401622	0.3573401622
