iter	Passed	Remaining
0	235	1886385
1	545	2180136
2	808	2155295
3	1122	2242905
4	1368	2188986
5	1644	2191357
6	1840	2101869
7	2118	2116220
8	2377	2111014
9	2642	2111481
10	2894	2102061
11	3104	2066523
12	3357	2062583
13	3620	2065266
14	3869	2059639
15	4088	2040155
16	4373	2053559
17	4600	2040093
18	4854	2039161
19	5115	2041152
20	5386	2046583
21	5673	2057495
22	5924	2054769
23	6188	2056553
24	6437	2053484
25	6712	2058783
26	6976	2060171
27	7238	2060947
28	7497	2060790
29	7743	2057114
30	8047	2068821
31	8302	2067277
32	8572	2069593
33	8847	2072950
34	9118	2075145
35	9365	2071897
36	9677	2082818
37	9929	2080447
38	10181	2078380
39	10410	2071614
40	10688	2074862
41	10928	2070681
42	11184	2069704
43	11393	2060115
44	11643	2058374
45	11898	2057406
46	12127	2052199
47	12353	2046484
48	12563	2038573
49	12823	2038910
50	13055	2034921
51	13300	2032875
52	13567	2034409
53	13821	2033816
54	14076	2033444
55	14326	2032323
56	14605	2035250
57	14872	2036481
58	15150	2039212
59	15432	2042229
60	15672	2039791
61	15925	2038943
62	16157	2035648
63	16407	2034503
64	16685	2036936
65	16911	2032988
66	17194	2035907
67	17442	2034600
68	17748	2039997
69	17981	2037086
70	18246	2037704
71	18510	2038263
72	18782	2039576
73	19084	2044144
74	19375	2047292
75	19759	2060204
76	20011	2059143
77	20273	2059011
78	20538	2059310
79	20811	2060344
80	21034	2056424
81	21252	2052131
82	21481	2049020
83	21774	2051995
84	22021	2050556
85	22272	2049544
86	22531	2049357
87	22788	2048875
88	23050	2048924
89	23298	2047705
90	23565	2048164
91	23826	2048077
92	24095	2048676
93	24350	2048050
94	24613	2048130
95	24875	2048077
96	25131	2047586
97	25411	2048978
98	25677	2049288
99	25933	2048753
100	26210	2049895
101	26477	2050160
102	26744	2050512
103	26993	2049427
104	27263	2049947
105	27536	2050677
106	27831	2053050
107	28110	2054170
108	28405	2056367
109	28694	2058211
110	28950	2057574
111	29254	2060382
112	29559	2063180
113	29860	2065606
114	30171	2068738
115	30469	2070882
116	30729	2070402
117	31022	2072176
118	31315	2073916
119	31647	2078201
120	31944	2080062
121	32174	2077622
122	32450	2078152
123	32734	2079150
124	33000	2079023
125	33388	2086526
126	33830	2097216
127	34220	2104585
128	34558	2108597
129	34794	2106392
130	35032	2104370
131	35250	2101125
132	35488	2099153
133	35782	2100504
134	36050	2100280
135	36278	2097746
136	36553	2097968
137	36822	2097826
138	37073	2096636
139	37344	2096602
140	37633	2097622
141	37923	2098635
142	38150	2096152
143	38432	2096693
144	38692	2096039
145	38938	2094670
146	39214	2094927
147	39421	2091474
148	39658	2089681
149	39938	2090105
150	40238	2091616
151	40472	2089668
152	40775	2091260
153	41066	2092244
154	41312	2090946
155	41579	2090693
156	41877	2092024
157	42119	2090513
158	42418	2091842
159	42648	2089773
160	42887	2088147
161	43115	2086020
162	43368	2085135
163	43630	2084684
164	43888	2084024
165	44131	2082670
166	44429	2083926
167	44741	2085823
168	45019	2086099
169	45257	2084521
170	45504	2083351
171	45744	2081920
172	46034	2082720
173	46273	2081226
174	46565	2082145
175	46829	2081801
176	47080	2080871
177	47361	2081259
178	47615	2080450
179	47846	2078662
180	48104	2078055
181	48365	2077589
182	48694	2080025
183	48950	2079346
184	49256	2080751
185	49572	2082578
186	49879	2084011
187	50212	2086494
188	50481	2086317
189	50738	2085605
190	51047	2087079
191	51373	2089196
192	51640	2088915
193	51927	2089431
194	52122	2086234
195	52382	2085688
196	52628	2084576
197	52881	2083749
198	53154	2083726
199	53427	2083668
200	53725	2084610
201	54020	2085394
202	54287	2085102
203	54554	2084837
204	54848	2085594
205	55090	2084331
206	55358	2084101
207	55607	2083132
208	55891	2083502
209	56166	2083502
210	56424	2082884
211	56678	2082125
212	56939	2081628
213	57175	2080230
214	57416	2079021
215	57681	2078674
216	57939	2078091
217	58177	2076788
218	58441	2076390
219	58708	2076136
220	58961	2075405
221	59195	2073967
222	59462	2073721
223	59720	2073157
224	60010	2073695
225	60266	2073055
226	60553	2073504
227	60837	2073798
228	61108	2073699
229	61365	2073086
230	61628	2072692
231	61881	2071972
232	62159	2072087
233	62389	2070574
234	62669	2070747
235	62942	2070701
236	63213	2070561
237	63439	2068969
238	63673	2067669
239	63957	2067971
240	64208	2067206
241	64462	2066526
242	64732	2066383
243	64993	2065942
244	65225	2064583
245	65490	2064281
246	65756	2064017
247	66018	2063609
248	66244	2062097
249	66501	2061557
250	66756	2060951
251	66996	2059886
252	67281	2060202
253	67552	2060084
254	67839	2060446
255	68121	2060666
256	68407	2060996
257	68658	2060274
258	68941	2060536
259	69212	2060396
260	69465	2059758
261	69718	2059081
262	69969	2058378
263	70238	2058210
264	70510	2058102
265	70808	2058760
266	71070	2058383
267	71309	2057334
268	71573	2057008
269	71838	2056713
270	72096	2056218
271	72361	2055928
272	72649	2056271
273	72880	2055008
274	73177	2055627
275	73456	2055703
276	73710	2055104
277	73991	2055258
278	74282	2055681
279	74530	2054917
280	74782	2054244
281	75033	2053587
282	75293	2053153
283	75529	2052071
284	75829	2052714
285	76120	2053111
286	76338	2051568
287	76621	2051742
288	76898	2051789
289	77162	2051470
290	77418	2050912
291	77690	2050806
292	77928	2049808
293	78195	2049581
294	78443	2048839
295	78680	2047811
296	78939	2047377
297	79213	2047323
298	79458	2046527
299	79776	2047608
300	80063	2047877
301	80326	2047536
302	80598	2047413
303	80846	2046695
304	81116	2046519
305	81405	2046835
306	81664	2046388
307	81920	2045879
308	82162	2045023
309	82410	2044310
310	82704	2044737
311	82884	2042353
312	83147	2042016
313	83434	2042273
314	83680	2041544
315	83923	2040725
316	84155	2039640
317	84392	2038679
318	84645	2038117
319	84901	2037635
320	85178	2037654
321	85424	2036932
322	85685	2036567
323	85924	2035679
324	86187	2035343
325	86424	2034418
326	86658	2033421
327	86921	2033121
328	87161	2032256
329	87445	2032440
330	87692	2031754
331	87968	2031764
332	88247	2031821
333	88511	2031520
334	88766	2031041
335	89028	2030694
336	89295	2030483
337	89563	2030280
338	89828	2030025
339	90096	2029816
340	90346	2029222
341	90625	2029273
342	90904	2029321
343	91188	2029463
344	91427	2028621
345	91697	2028478
346	91950	2027935
347	92183	2026988
348	92425	2026203
349	92672	2025545
350	92950	2025568
351	93219	2025408
352	93501	2025505
353	93821	2026434
354	94021	2024776
355	94336	2025580
356	94624	2025802
357	94885	2025457
358	95191	2026077
359	95445	2025569
360	95726	2025636
361	95984	2025218
362	96320	2026435
363	96599	2026476
364	96888	2026686
365	97143	2026218
366	97422	2026225
367	97710	2026429
368	98016	2026992
369	98296	2027029
370	98562	2026773
371	98846	2026885
372	99092	2026224
373	99348	2025745
374	99665	2026530
375	99953	2026714
376	100216	2026388
377	100482	2026134
378	100746	2025820
379	101041	2026154
380	101324	2026233
381	101619	2026532
382	101887	2026311
383	102127	2025525
384	102402	2025449
385	102739	2026579
386	102995	2026113
387	103270	2026011
388	103473	2024521
389	103781	2025070
390	104047	2024811
391	104303	2024334
392	104562	2023941
393	104837	2023839
394	105084	2023203
395	105356	2023048
396	105652	2023370
397	105899	2022724
398	106140	2021991
399	106400	2021612
400	106702	2022033
401	106967	2021732
402	107228	2021381
403	107461	2020490
404	107746	2020587
405	108001	2020106
406	108286	2020195
407	108589	2020608
408	108867	2020572
409	109108	2019831
410	109374	2019576
411	109627	2019054
412	109896	2018851
413	110152	2018393
414	110423	2018228
415	110677	2017729
416	110949	2017586
417	111236	2017692
418	111507	2017517
419	111776	2017305
420	112023	2016686
421	112289	2016418
422	112552	2016092
423	112831	2016062
424	113087	2015610
425	113314	2014655
426	113507	2013091
427	113795	2013228
428	114054	2012844
429	114376	2013562
430	114662	2013651
431	114941	2013598
432	115190	2013034
433	115455	2012758
434	115736	2012745
435	115994	2012347
436	116246	2011837
437	116506	2011468
438	116798	2011651
439	117101	2012021
440	117465	2013428
441	117923	2016441
442	118202	2016375
443	118499	2016620
444	118776	2016528
445	119017	2015818
446	119245	2014905
447	119492	2014308
448	119772	2014265
449	120059	2014325
450	120338	2014264
451	120612	2014114
452	120884	2013937
453	121140	2013493
454	121434	2013676
455	121694	2013296
456	121931	2012532
457	122174	2011874
458	122444	2011665
459	122703	2011268
460	122974	2011076
461	123224	2010528
462	123481	2010106
463	123781	2010382
464	124083	2010691
465	124337	2010219
466	124593	2009764
467	124908	2010284
468	125171	2009949
469	125456	2009967
470	125735	2009901
471	125998	2009571
472	126301	2009882
473	126561	2009494
474	126830	2009264
475	127130	2009517
476	127416	2009551
477	127722	2009897
478	127991	2009648
479	128274	2009639
480	128534	2009251
481	128803	2009014
482	129063	2008640
483	129329	2008343
484	129611	2008309
485	129878	2008040
486	130133	2007581
487	130409	2007445
